image_type,max_quality,speed,dither,runtime_ms,compression_ratio,quality_ok
scatter,0,1,1.0,64.684791,4.038375,true
scatter,0,4,1.0,44.472375,3.9885185185185184,true
scatter,0,6,1.0,43.250084,4.1234205488194,true
scatter,0,8,1.0,19.181125,2.642051030421982,true
scatter,0,10,1.0,19.0255,2.642051030421982,true
scatter,20,1,1.0,37.382292,1.744250080984775,true
scatter,20,4,1.0,34.043459,1.7462299335171072,true
scatter,20,6,1.0,32.993708,2.6598880289807343,true
scatter,20,8,1.0,18.646333000000002,1.6667698498684413,true
scatter,20,10,1.0,18.534625,1.6667698498684413,true
scatter,40,1,1.0,38.385708,2.55330751600411,true
scatter,40,4,1.0,33.470082999999995,2.543657979686639,true
scatter,40,6,1.0,33.135708,2.5428571428571427,true
scatter,40,8,1.0,18.450917,1.7358156028368794,true
scatter,40,10,1.0,18.2865,1.7358156028368794,true
scatter,60,1,1.0,36.915792,2.0157858613589568,true
scatter,60,4,1.0,33.326667,2.0127717899196313,true
scatter,60,6,1.0,32.488334,2.0137754784017954,true
scatter,60,8,1.0,17.943458999999997,1.8860995971743826,true
scatter,60,10,1.0,18.192,1.8860995971743826,true
scatter,80,1,1.0,36.811583,1.922006068177762,true
scatter,80,4,1.0,32.590666999999996,1.9412931138084364,true
scatter,80,6,1.0,32.500333,1.9402438291994475,true
scatter,80,8,1.0,17.897333,2.253871912934282,true
scatter,80,10,1.0,17.801333999999997,2.253871912934282,true
scatter,100,1,1.0,40.744125,2.229145104533223,true
scatter,100,4,1.0,35.441542,2.226993865030675,true
scatter,100,6,1.0,33.840292,2.2257664485015503,true
scatter,100,8,1.0,18.150708,2.2082706766917295,true
scatter,100,10,1.0,18.158292,2.2082706766917295,true
heatmap,0,1,1.0,65.607208,0.2900528301886792,true
heatmap,0,4,1.0,47.311082999999996,0.30023123554777825,true
heatmap,0,6,1.0,45.459917000000004,0.4643938905716311,true
heatmap,0,8,1.0,30.750957999999997,0.25894549603370676,true
heatmap,0,10,1.0,30.715875,0.25894549603370676,true
heatmap,20,1,1.0,50.541542,0.31594870108516937,true
heatmap,20,4,1.0,42.913374999999995,0.3198508605479543,true
heatmap,20,6,1.0,42.277708,0.31830379327480535,true
heatmap,20,8,1.0,29.160208,0.3033179345252502,true
heatmap,20,10,1.0,28.718708999999997,0.3033179345252502,true
heatmap,40,1,1.0,47.592083,0.2697436761279093,true
heatmap,40,4,1.0,41.169458,0.27143543238127527,true
heatmap,40,6,1.0,40.853459,0.26989774897936253,true
heatmap,40,8,1.0,27.495458,0.25468072134797703,true
heatmap,40,10,1.0,27.940125,0.25468072134797703,true
heatmap,60,1,1.0,47.671208,0.31958842900067636,true
heatmap,60,4,1.0,42.359083,0.32077991452991456,true
heatmap,60,6,1.0,40.676083,0.31710617512129113,true
heatmap,60,8,1.0,26.84675,0.2873348950804964,true
heatmap,60,10,1.0,26.029792,0.2873348950804964,true
heatmap,80,1,1.0,42.860542,0.4254276563399407,true
heatmap,80,4,1.0,38.544875,0.4263463842501516,true
heatmap,80,6,1.0,38.575125,0.39427141039845703,true
heatmap,80,8,1.0,24.3095,0.40420131536509096,true
heatmap,80,10,1.0,24.296625,0.40420131536509096,true
heatmap,100,1,1.0,38.480042,2.496881496881497,true
heatmap,100,4,1.0,34.457083,2.496665223040277,true
heatmap,100,6,1.0,33.745290999999995,2.496881496881497,true
heatmap,100,8,1.0,18.497458,2.426262626262626,true
heatmap,100,10,1.0,18.64825,2.426262626262626,true
lines,0,1,1.0,71.900541,7.27663193706145,true
lines,0,4,1.0,51.628292,7.254266030736619,true
lines,0,6,1.0,45.914834,7.741658183463409,true
lines,0,8,1.0,34.075125,4.135839023505952,true
lines,0,10,1.0,34.647209,4.135839023505952,true
lines,20,1,1.0,44.323708,3.6370592767755134,true
lines,20,4,1.0,38.582958,3.65756426014001,true
lines,20,6,1.0,36.800917000000005,3.583080305727149,true
lines,20,8,1.0,23.421750000000003,3.3691361063253753,true
lines,20,10,1.0,23.718374999999998,3.3691361063253753,true
lines,40,1,1.0,47.052792000000004,3.5002557021581264,true
lines,40,4,1.0,39.308333,3.502853194810512,true
lines,40,6,1.0,36.947,3.472728195240753,true
lines,40,8,1.0,22.978084,2.9776385626033237,true
lines,40,10,1.0,22.600209,2.9776385626033237,true
lines,60,1,1.0,45.102208,3.203782151800969,true
lines,60,4,1.0,39.78475,3.198990441915356,true
lines,60,6,1.0,37.651458999999996,3.216958074826095,true
lines,60,8,1.0,22.205667,2.8446624134993037,true
lines,60,10,1.0,22.612458,2.8446624134993037,true
lines,80,1,1.0,48.687917,2.7489758213511126,true
lines,80,4,1.0,40.737417,2.7661406025824964,true
lines,80,6,1.0,38.026833,2.752126098232775,true
lines,80,8,1.0,23.178334,2.751185786638797,true
lines,80,10,1.0,22.659375,2.751185786638797,true
lines,100,1,1.0,51.602666,2.5830361354844795,true
lines,100,4,1.0,43.081583,2.5861104813723266,true
lines,100,6,1.0,39.614208999999995,2.57690932023117,true
lines,100,8,1.0,23.465957999999997,2.534962962962963,true
lines,100,10,1.0,23.219041999999998,2.534962962962963,true
